start,end,tID,notes,TAG,TIME,X,Y,NBS,VARX,VARY,COVXY,SD,Timestamp,bird_id,date,long,lat,ID,gps_mean_x,gps_mean_y,n,error_dist
2020/08/21 17:05:16.751+00,2020/08/21 17:05:16.751+00,WP072,,31001001060,1598029516751,650525.33774726,5901742.21477145,"5",15.1441,28.3765,18.4982,8.97312654541325,2020/08/21 17:05:16.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:17.751+00,2020/08/21 17:05:17.751+00,WP072,,31001001060,1598029517751,650525.33774726,5901742.21477145,"5",14.9659,28.9941,18.7173,9.02189558795711,2020/08/21 17:05:17.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:18.751+00,2020/08/21 17:05:18.751+00,WP072,,31001001060,1598029518751,650525.33774726,5901742.21477145,"5",14.6226,28.5482,18.375,8.93984339907585,2020/08/21 17:05:18.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:19.751+00,2020/08/21 17:05:19.751+00,WP072,,31001001060,1598029519751,650525.33774726,5901742.21477145,"5",18.7713,30.7101,21.3381,9.59987499918619,2020/08/21 17:05:19.751+00,"1060",2020/08/21,5.25591957448664,53.2436277142815,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:20.751+00,2020/08/21 17:05:20.751+00,WP072,,31001001060,1598029520751,650525.33774726,5901742.21477145,"5",14.1538,28.3302,17.9789,8.85673754833008,2020/08/21 17:05:20.751+00,"1060",2020/08/21,5.25582628057831,53.2435637744478,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:21.751+00,2020/08/21 17:05:21.751+00,WP072,,31001001060,1598029521751,650526.827145564,5901744.02967585,"5",17.5118,30.7854,20.6766,9.46838951459011,2020/08/21 17:05:21.751+00,"1060",2020/08/21,5.25585651771469,53.2436182829291,14,650528.175175278,5901748.08845346,"14",4.27678148313176
2020/08/21 17:05:22.751+00,2020/08/21 17:05:22.751+00,WP072,,31001001060,1598029522751,650525.001139623,5901740.20523917,"5",15.3339,31.0152,19.7682,9.26744301304303,2020/08/21 17:05:22.751+00,"1060",2020/08/21,5.25576907502518,53.2435389616157,14,650528.175175278,5901748.08845346,"14",8.49820980814052
2020/08/21 17:05:23.751+00,2020/08/21 17:05:23.751+00,WP072,,31001001060,1598029523751,650525.209163649,5901743.55167627,"5",14.6483,26.9345,17.5745,8.75966894351607,2020/08/21 17:05:23.751+00,"1060",2020/08/21,5.25585628850286,53.2435980393801,14,650528.175175278,5901748.08845346,"14",5.42029264315383
2020/08/21 17:05:24.751+00,2020/08/21 17:05:24.751+00,WP072,,31001001060,1598029524751,650525.209163649,5901743.55167627,"5",19.0848,30.2719,21.2761,9.58691295464812,2020/08/21 17:05:24.751+00,"1060",2020/08/21,5.25579277606664,53.2435648561378,14,650528.175175278,5901748.08845346,"14",5.42029264315383
2020/08/21 17:05:25.751+00,2020/08/21 17:05:25.751+00,WP072,,31001001060,1598029525751,650525.209163649,5901743.55167627,"5",15.222,28.0171,18.3769,8.9438749991265,2020/08/21 17:05:25.751+00,"1060",2020/08/21,5.25583100042033,53.2435942204205,14,650528.175175278,5901748.08845346,"14",5.42029264315383
